timestamp,open,high,low,close,volume,datetime
1749527100,25196.05,25199.3,25144.7,25153.9,0,2025-06-10 09:15:00+05:30
1749527160,25153.35,25160.75,25125.45,25131.0,0,2025-06-10 09:16:00+05:30
1749527220,25128.95,25131.55,25122.0,25130.7,0,2025-06-10 09:17:00+05:30
1749527280,25128.8,25132.1,25125.85,25131.05,0,2025-06-10 09:18:00+05:30
1749527340,25130.15,25136.8,25126.2,25127.1,0,2025-06-10 09:19:00+05:30
1749527400,25128.4,25134.05,25124.6,25124.75,0,2025-06-10 09:20:00+05:30
1749527460,25124.95,25134.3,25122.45,25132.65,0,2025-06-10 09:21:00+05:30
1749527520,25133.3,25140.2,25131.2,25133.95,0,2025-06-10 09:22:00+05:30
1749527580,25131.45,25138.65,25127.05,25132.3,0,2025-06-10 09:23:00+05:30
1749527640,25128.55,25139.4,25128.55,25138.45,0,2025-06-10 09:24:00+05:30
1749527700,25138.65,25146.5,25135.85,25146.5,0,2025-06-10 09:25:00+05:30
1749527760,25145.45,25149.55,25142.45,25147.0,0,2025-06-10 09:26:00+05:30
1749527820,25146.6,25148.05,25133.3,25137.2,0,2025-06-10 09:27:00+05:30
1749527880,25135.8,25139.2,25125.3,25125.3,0,2025-06-10 09:28:00+05:30
1749527940,25125.7,25126.25,25085.4,25089.25,0,2025-06-10 09:29:00+05:30
1749528000,25087.75,25087.75,25055.45,25072.0,0,2025-06-10 09:30:00+05:30
1749528060,25070.85,25098.1,25070.85,25097.55,0,2025-06-10 09:31:00+05:30
1749528120,25098.1,25101.8,25096.2,25099.2,0,2025-06-10 09:32:00+05:30
1749528180,25097.75,25110.3,25097.35,25108.75,0,2025-06-10 09:33:00+05:30
1749528240,25109.15,25119.2,25109.15,25115.4,0,2025-06-10 09:34:00+05:30
1749528300,25114.95,25115.85,25105.85,25106.9,0,2025-06-10 09:35:00+05:30
1749528360,25107.85,25115.9,25105.45,25106.4,0,2025-06-10 09:36:00+05:30
1749528420,25107.0,25112.85,25101.8,25102.5,0,2025-06-10 09:37:00+05:30
1749528480,25103.5,25129.6,25103.2,25126.6,0,2025-06-10 09:38:00+05:30
1749528540,25126.55,25130.9,25123.05,25124.1,0,2025-06-10 09:39:00+05:30
1749528600,25125.15,25126.75,25116.7,25116.7,0,2025-06-10 09:40:00+05:30
1749528660,25117.45,25121.65,25113.7,25119.45,0,2025-06-10 09:41:00+05:30
1749528720,25119.85,25125.75,25118.25,25119.55,0,2025-06-10 09:42:00+05:30
1749528780,25120.5,25121.7,25114.85,25117.75,0,2025-06-10 09:43:00+05:30
1749528840,25116.8,25118.35,25105.65,25109.05,0,2025-06-10 09:44:00+05:30
1749528900,25108.2,25113.0,25107.75,25111.45,0,2025-06-10 09:45:00+05:30
1749528960,25111.4,25117.5,25104.25,25104.7,0,2025-06-10 09:46:00+05:30
1749529020,25105.85,25113.3,25103.6,25112.65,0,2025-06-10 09:47:00+05:30
1749529080,25113.35,25125.6,25113.25,25125.3,0,2025-06-10 09:48:00+05:30
1749529140,25125.75,25125.75,25120.85,25124.35,0,2025-06-10 09:49:00+05:30
1749529200,25124.2,25128.3,25122.75,25126.3,0,2025-06-10 09:50:00+05:30
1749529260,25126.25,25142.0,25125.15,25130.35,0,2025-06-10 09:51:00+05:30
1749529320,25131.05,25131.05,25120.1,25128.9,0,2025-06-10 09:52:00+05:30
1749529380,25128.25,25130.25,25124.2,25129.3,0,2025-06-10 09:53:00+05:30
1749529440,25129.15,25131.35,25126.05,25126.45,0,2025-06-10 09:54:00+05:30
1749529500,25127.7,25130.3,25126.05,25126.3,0,2025-06-10 09:55:00+05:30
1749529560,25126.2,25130.75,25125.95,25130.65,0,2025-06-10 09:56:00+05:30
1749529620,25131.2,25131.65,25127.4,25130.2,0,2025-06-10 09:57:00+05:30
1749529680,25129.95,25131.6,25127.65,25129.6,0,2025-06-10 09:58:00+05:30
1749529740,25129.8,25130.5,25126.55,25127.9,0,2025-06-10 09:59:00+05:30
1749529800,25127.6,25132.05,25127.1,25131.5,0,2025-06-10 10:00:00+05:30
1749529860,25131.4,25131.75,25127.9,25130.2,0,2025-06-10 10:01:00+05:30
1749529920,25130.6,25135.8,25128.6,25135.8,0,2025-06-10 10:02:00+05:30
1749529980,25136.05,25142.15,25134.2,25139.85,0,2025-06-10 10:03:00+05:30
1749530040,25139.3,25150.1,25137.45,25147.15,0,2025-06-10 10:04:00+05:30
1749530100,25147.8,25147.8,25140.25,25142.0,0,2025-06-10 10:05:00+05:30
1749530160,25141.3,25150.9,25141.3,25150.9,0,2025-06-10 10:06:00+05:30
